stop_id,stop_name,stop_desc,stop_lat,stop_lon
078,Micronesia Mall,Dededo,13.520825218342258, 144.81685346406115
079,Mobil Gas Station,Sinajana,13.459033762915093, 144.7598252009037
080,Mobil Gas Station,Ipan,13.359207603321188, 144.77118517946815
081,MTM Mayors Office,Toto,13.467338065101679, 144.78321382196003
082,Naputi Retail Store IVO Hemlani,Malesso',13.262036619816167, 144.6751411542792
083,Naval Station Pass & ID Sumay Naval Station,Piti,13.42312661263315, 144.67556102540573
084,NCS Shell Gas Station,Dededo,13.565470191251611, 144.84585284340505
085,Oasis Apartments Entrance,Toto,13.473564723721335, 144.7825326046048
086,Old Ben Franklin Buidling,Tamuning,13.484131982528783, 144.77593511439662
087,Orleans Plaza,Tamuning,13.507611557014922, 144.80984613022133
088,OS 7 Mart,Mangilao,13.441962912212587, 144.80504302249628
089,Pagachao Ghura Office,Hågat,13.365420254704215, 144.65612722233564
090,Pak Air (Social Security),Tamuning. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.487752912620172, 144.79636773953135
091,Parks & Recreation,Agana Heights,13.478479153630477, 144.75261410275436
092,Parks Market,Dededo,13.556333055507704, 144.85617211254728
093,Paul's Plaza Rt 1,Tamuning,13.521075227747383, 144.82055628217717
094,Payless SuperMarket,Maite,13.475278121458825, 144.77500166243888
095,PIC Hotel (bus stop),Tumon,13.502386017037576, 144.7935758633359
096,Piti Church,Piti,13.462384197486596, 144.69418665672458
097,Premier Apartments (Marine Dr),Yigo,13.522024309909966, 144.8774842046057
098,Public Defender,Sinajana,13.460204825798856, 144.7592362487835
099,Reef Hotel Traffic Light,Tumon,13.516223482029575, 144.8072936915041
100,Rev & Tax Building,Barrigada,13.492332279639417, 144.822785337681
101,Rt. 10 (after DHL school bus stop),Mangilao,13.4390184350573, 144.79709166012282
102,Sakura Kitchen,Tamuning,13.504611268279382, 144.8065842912779
103,Santa Ana Church,Hågat,13.35749879751849, 144.65089681809556
104,Santa Ana Subdivision (Ritidian Mart) (Hwy 9),Dededo,13.589024671180015, 144.865501568369
105,Santa Rita-Sumai Store,Santa Rita-Sumai,13.387496546968453, 144.67798236439313
106,Sinajana Church,Sinajana,13.462000898182291, 144.75580003360156
107,Social Security Office/VA Office,Tamuning. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.487679882082297, 144.79670033344073
108,Son's Store (Route 9 Agafa Gumas),Dededo,13.585241982775628, 144.87826877224296
109,Song Market,Chalan Pago,13.434910126922992, 144.78343613953055
110,Sta. Teresita Church,Mangilao,13.448076478684474, 144.80374490248425
111,Subway/Fuji-Ichiban,Tumon,13.508252327125401, 144.8038104005804
112,Summer Garden Apt.,Tamuning,13.488887480656226, 144.78868764154555
113,Sunshine Plaza,Ordot,13.44791883352171, 144.76102378328622
114,Swamp Road Entrance,Dededo,13.542026493526599, 144.8334532431295
115,Talo'fo'fo' Ghura Housing (Upper),Talo'fo'fo',13.362862547575746, 144.7572460115033
116,Talo'fo'fo' Mayors Office,Talo'fo'fo',13.355842426976775, 144.7567323679767
117,Talo'fo'fo' Surfside beach,Talo'fo'fo',13.336390619123756, 144.7633151720657
118,Three Squares, San Antonio Rd,Tamuning,13.496112409102848, 144.78264186853175
